state,state_code,year,year_code,single_year_ages,age,deaths,population,opioid_death_rate
Alabama,1.0,2007.0,2007.0,46 years,46.0,10.0,69977.0,
Alabama,1.0,2013.0,2013.0,34 years,34.0,10.0,60058.0,
Alabama,1.0,2014.0,2014.0,31 years,31.0,13.0,61793.0,
Alabama,1.0,2014.0,2014.0,36 years,36.0,12.0,59363.0,
Alabama,1.0,2014.0,2014.0,57 years,57.0,11.0,68354.0,
Alabama,1.0,2015.0,2015.0,30 years,30.0,14.0,62241.0,
Alabama,1.0,2015.0,2015.0,53 years,53.0,10.0,68194.0,
Alabama,1.0,2016.0,2016.0,23 years,23.0,10.0,67878.0,
Alabama,1.0,2016.0,2016.0,27 years,27.0,13.0,66086.0,
Alabama,1.0,2016.0,2016.0,28 years,28.0,12.0,63030.0,
Alabama,1.0,2016.0,2016.0,30 years,30.0,10.0,61418.0,
Alabama,1.0,2016.0,2016.0,31 years,31.0,12.0,61744.0,
Alabama,1.0,2016.0,2016.0,32 years,32.0,10.0,59787.0,
Alabama,1.0,2016.0,2016.0,35 years,35.0,16.0,61620.0,
Alabama,1.0,2016.0,2016.0,36 years,36.0,13.0,62908.0,
Alabama,1.0,2016.0,2016.0,37 years,37.0,10.0,59336.0,
Alabama,1.0,2016.0,2016.0,41 years,41.0,10.0,58637.0,
Alabama,1.0,2017.0,2017.0,26 years,26.0,13.0,70881.0,
Alabama,1.0,2017.0,2017.0,28 years,28.0,11.0,65805.0,
Alabama,1.0,2017.0,2017.0,29 years,29.0,13.0,62497.0,
Alabama,1.0,2017.0,2017.0,31 years,31.0,16.0,60306.0,
Alabama,1.0,2017.0,2017.0,32 years,32.0,15.0,61179.0,
Alabama,1.0,2017.0,2017.0,33 years,33.0,14.0,59486.0,
Alabama,1.0,2017.0,2017.0,34 years,34.0,18.0,60449.0,
Alabama,1.0,2017.0,2017.0,35 years,35.0,13.0,60974.0,
Alabama,1.0,2017.0,2017.0,36 years,36.0,11.0,61260.0,
Alabama,1.0,2017.0,2017.0,38 years,38.0,10.0,58806.0,
Alabama,1.0,2017.0,2017.0,39 years,39.0,13.0,58384.0,
Alabama,1.0,2017.0,2017.0,40 years,40.0,10.0,58211.0,
Alabama,1.0,2017.0,2017.0,41 years,41.0,10.0,56117.0,
Alabama,1.0,2017.0,2017.0,45 years,45.0,14.0,62175.0,
Alabama,1.0,2017.0,2017.0,46 years,46.0,13.0,65764.0,
Alabama,1.0,2017.0,2017.0,49 years,49.0,12.0,59820.0,
Alabama,1.0,2017.0,2017.0,52 years,52.0,11.0,66539.0,
Alabama,1.0,2017.0,2017.0,58 years,58.0,10.0,66442.0,
Alabama,1.0,2018.0,2018.0,27 years,27.0,11.0,70333.0,
Alabama,1.0,2018.0,2018.0,32 years,32.0,10.0,60082.0,
Alabama,1.0,2018.0,2018.0,34 years,34.0,16.0,59479.0,
Alabama,1.0,2018.0,2018.0,35 years,35.0,13.0,60424.0,
Alabama,1.0,2018.0,2018.0,36 years,36.0,12.0,61043.0,
Alabama,1.0,2018.0,2018.0,37 years,37.0,18.0,61017.0,
Alabama,1.0,2018.0,2018.0,38 years,38.0,11.0,62813.0,
Alabama,1.0,2018.0,2018.0,40 years,40.0,11.0,58243.0,
Alabama,1.0,2018.0,2018.0,41 years,41.0,11.0,58338.0,
Alabama,1.0,2018.0,2018.0,43 years,43.0,10.0,58464.0,
Alabama,1.0,2018.0,2018.0,46 years,46.0,10.0,62099.0,
Alabama,1.0,2018.0,2018.0,55 years,55.0,11.0,66911.0,
Alabama,1.0,2019.0,2019.0,27 years,27.0,13.0,67597.0,
Alabama,1.0,2019.0,2019.0,31 years,31.0,11.0,61947.0,
Alabama,1.0,2019.0,2019.0,32 years,32.0,17.0,60462.0,
Alabama,1.0,2019.0,2019.0,33 years,33.0,15.0,60114.0,
Alabama,1.0,2019.0,2019.0,34 years,34.0,23.0,61235.0,37.6
Alabama,1.0,2019.0,2019.0,36 years,36.0,10.0,60337.0,
Alabama,1.0,2019.0,2019.0,37 years,37.0,13.0,60781.0,
Alabama,1.0,2019.0,2019.0,38 years,38.0,10.0,61053.0,
Alabama,1.0,2019.0,2019.0,39 years,39.0,10.0,62572.0,
Alabama,1.0,2019.0,2019.0,40 years,40.0,10.0,58490.0,
Alabama,1.0,2019.0,2019.0,42 years,42.0,13.0,58158.0,
Alabama,1.0,2019.0,2019.0,45 years,45.0,14.0,57225.0,
Alabama,1.0,2019.0,2019.0,49 years,49.0,10.0,64896.0,
