state,state_code,year,year_code,opioid_deaths,population,opioid_death_rate,heroin_deaths,heroin_death_rate,other_deaths,other_death_rate,methadone_deaths,methadone_death_rate,synthetic_deaths,synthetic_death_rate,prescription_deaths,prescription_death_rate
Alabama,1.0,1999,1999.0,26.0,4430141.0,0.6,,,,,14.0,,,,,
Alabama,1.0,2000,2000.0,31.0,4447100.0,0.7,0.0,,,,,,,,18.0,
Alabama,1.0,2001,2001.0,47.0,4467634.0,1.1,,,,,22.0,0.5,,,19.0,
Alabama,1.0,2002,2002.0,61.0,4480089.0,1.4,,,,,30.0,0.7,,,26.0,0.6
Alabama,1.0,2003,2003.0,40.0,4503491.0,0.9,,,,,23.0,0.5,,,18.0,
Alabama,1.0,2004,2004.0,76.0,4530729.0,1.7,0.0,,,,44.0,1.0,10.0,,27.0,0.6
Alabama,1.0,2005,2005.0,65.0,4569805.0,1.4,,,,,38.0,0.8,,,20.0,0.4
Alabama,1.0,2006,2006.0,96.0,4628981.0,2.1,,,,,53.0,1.1,18.0,,35.0,0.8
Alabama,1.0,2007,2007.0,146.0,4672840.0,3.1,,,,,77.0,1.6,19.0,,59.0,1.3
Alabama,1.0,2008,2008.0,156.0,4718206.0,3.3,,,,,87.0,1.8,15.0,,61.0,1.3
Alabama,1.0,2009,2009.0,178.0,4757938.0,3.7,12.0,,,,81.0,1.7,27.0,0.6,72.0,1.5
Alabama,1.0,2010,2010.0,167.0,4779736.0,3.5,,,13.0,,68.0,1.4,34.0,0.7,71.0,1.5
Alabama,1.0,2011,2011.0,161.0,4802740.0,3.4,13.0,,11.0,,59.0,1.2,19.0,,82.0,1.7
Alabama,1.0,2012,2012.0,147.0,4822023.0,3.0,34.0,0.7,10.0,,51.0,1.1,10.0,,55.0,1.1
Alabama,1.0,2013,2013.0,150.0,4833722.0,3.1,40.0,0.8,14.0,,40.0,0.8,24.0,0.5,57.0,1.2
Alabama,1.0,2014,2014.0,252.0,4849377.0,5.2,122.0,2.5,12.0,,40.0,0.8,44.0,0.9,78.0,1.6
Alabama,1.0,2015,2015.0,261.0,4858979.0,5.4,108.0,2.2,20.0,0.4,36.0,0.7,68.0,1.4,75.0,1.5
Alabama,1.0,2016,2016.0,320.0,4863300.0,6.6,126.0,2.6,11.0,,33.0,0.7,152.0,3.1,78.0,1.6
Alabama,1.0,2017,2017.0,395.0,4874747.0,8.1,123.0,2.5,22.0,0.5,25.0,0.5,193.0,4.0,126.0,2.6
Alabama,1.0,2018,2018.0,353.0,4887871.0,7.2,136.0,2.8,,,30.0,0.6,137.0,2.8,111.0,2.3
Alabama,1.0,2019,2019.0,388.0,4903185.0,7.9,138.0,2.8,,,31.0,0.6,210.0,4.3,115.0,2.3
Alabama,1.0,2020,2020.0,594.0,4921532.0,12.1,138.0,2.8,13.0,,26.0,0.5,437.0,8.9,110.0,2.2
Alaska,2.0,1999,1999.0,15.0,624779.0,,,,,,,,,,,
Alaska,2.0,2000,2000.0,22.0,626932.0,3.5,,,,,,,,,17.0,
Alaska,2.0,2001,2001.0,11.0,633714.0,,,,,,0.0,,,,,
Alaska,2.0,2002,2002.0,,642337.0,,,,0.0,,,,0.0,,,
Alaska,2.0,2003,2003.0,10.0,648414.0,,0.0,,,,,,0.0,,,
Alaska,2.0,2004,2004.0,,659286.0,,0.0,,,,,,0.0,,,
Alaska,2.0,2005,2005.0,13.0,666946.0,,,,0.0,,,,,,,
Alaska,2.0,2006,2006.0,27.0,675302.0,4.0,0.0,,,,11.0,,,,12.0,
Alaska,2.0,2007,2007.0,14.0,680300.0,,,,,,,,,,,
Alaska,2.0,2008,2008.0,66.0,687455.0,9.6,,,,,25.0,3.6,,,39.0,5.7
Alaska,2.0,2009,2009.0,73.0,698895.0,10.4,,,,,17.0,,14.0,,47.0,6.7
Alaska,2.0,2010,2010.0,57.0,710231.0,8.0,,,,,24.0,3.4,,,34.0,4.8
Alaska,2.0,2011,2011.0,62.0,722718.0,8.6,12.0,,,,17.0,,,,32.0,4.4
Alaska,2.0,2012,2012.0,78.0,731449.0,10.7,23.0,3.1,,,10.0,,,,40.0,5.5
Alaska,2.0,2013,2013.0,68.0,735132.0,9.3,24.0,3.3,,,,,12.0,,37.0,5.0
Alaska,2.0,2014,2014.0,68.0,736732.0,9.2,25.0,3.4,15.0,,11.0,,11.0,,34.0,4.6
Alaska,2.0,2015,2015.0,79.0,738432.0,10.7,36.0,4.9,17.0,,,,13.0,,45.0,6.1
Alaska,2.0,2016,2016.0,82.0,741894.0,11.1,46.0,6.2,23.0,3.1,11.0,,,,37.0,5.0
Alaska,2.0,2017,2017.0,89.0,739795.0,12.0,36.0,4.9,26.0,3.5,,,36.0,4.9,36.0,4.9
Alaska,2.0,2018,2018.0,61.0,737438.0,8.3,28.0,3.8,21.0,2.8,,,16.0,,30.0,4.1
Alaska,2.0,2019,2019.0,75.0,731545.0,10.3,42.0,5.7,23.0,3.1,,,22.0,3.0,36.0,4.9
Alaska,2.0,2020,2020.0,103.0,731158.0,14.1,34.0,4.7,22.0,3.0,,,63.0,8.6,35.0,4.8
Arizona,4.0,1999,1999.0,183.0,5023823.0,3.6,23.0,0.5,83.0,1.7,15.0,,10.0,,60.0,1.2
Arizona,4.0,2000,2000.0,195.0,5130632.0,3.8,14.0,,105.0,2.0,10.0,,,,71.0,1.4
Arizona,4.0,2001,2001.0,212.0,5273477.0,4.0,20.0,0.4,106.0,2.0,21.0,0.4,,,63.0,1.2
Arizona,4.0,2002,2002.0,255.0,5396255.0,4.7,23.0,0.4,99.0,1.8,50.0,0.9,12.0,,92.0,1.7
Arizona,4.0,2003,2003.0,283.0,5510364.0,5.1,64.0,1.2,61.0,1.1,63.0,1.1,15.0,,98.0,1.8
Arizona,4.0,2004,2004.0,272.0,5652404.0,4.8,37.0,0.7,75.0,1.3,55.0,1.0,18.0,,107.0,1.9
Arizona,4.0,2005,2005.0,315.0,5839077.0,5.4,32.0,0.5,69.0,1.2,75.0,1.3,31.0,0.5,133.0,2.3
Arizona,4.0,2006,2006.0,367.0,6029141.0,6.1,50.0,0.8,98.0,1.6,77.0,1.3,36.0,0.6,137.0,2.3
Arizona,4.0,2007,2007.0,369.0,6167681.0,6.0,50.0,0.8,96.0,1.6,68.0,1.1,27.0,0.4,159.0,2.6
Arizona,4.0,2008,2008.0,400.0,6280362.0,6.4,63.0,1.0,65.0,1.0,80.0,1.3,36.0,0.6,190.0,3.0
Arizona,4.0,2009,2009.0,489.0,6343154.0,7.7,80.0,1.3,85.0,1.3,92.0,1.5,39.0,0.6,240.0,3.8
Arizona,4.0,2010,2010.0,530.0,6392017.0,8.3,87.0,1.4,93.0,1.5,100.0,1.6,54.0,0.8,259.0,4.1
Arizona,4.0,2011,2011.0,465.0,6482505.0,7.2,116.0,1.8,67.0,1.0,51.0,0.8,29.0,0.4,240.0,3.7
Arizona,4.0,2012,2012.0,417.0,6553255.0,6.4,97.0,1.5,43.0,0.7,43.0,0.7,26.0,0.4,237.0,3.6
Arizona,4.0,2013,2013.0,434.0,6626624.0,6.5,142.0,2.1,43.0,0.6,55.0,0.8,35.0,0.5,189.0,2.9
Arizona,4.0,2014,2014.0,497.0,6731484.0,7.4,192.0,2.9,30.0,0.4,56.0,0.8,40.0,0.6,223.0,3.3
Arizona,4.0,2015,2015.0,566.0,6828065.0,8.3,236.0,3.5,37.0,0.5,69.0,1.0,57.0,0.8,226.0,3.3
Arizona,4.0,2016,2016.0,680.0,6931071.0,9.8,295.0,4.3,35.0,0.5,67.0,1.0,114.0,1.6,266.0,3.8
Arizona,4.0,2017,2017.0,817.0,7016270.0,11.6,328.0,4.7,36.0,0.5,75.0,1.1,251.0,3.6,279.0,4.0
Arizona,4.0,2018,2018.0,1003.0,7171646.0,14.0,349.0,4.9,20.0,0.3,57.0,0.8,495.0,6.9,239.0,3.3
Arizona,4.0,2019,2019.0,1190.0,7278717.0,16.3,264.0,3.6,30.0,0.4,67.0,0.9,761.0,10.5,252.0,3.5
