state,state_code,year,year_code,sex,sex_code,deaths,population,opioid_death_rate
Alabama,1.0,1999.0,1999.0,Female,F,10.0,2293259.0,
Alabama,1.0,1999.0,1999.0,Male,M,16.0,2136884.0,
Alabama,1.0,2000.0,2000.0,Female,F,12.0,2300596.0,
Alabama,1.0,2000.0,2000.0,Male,M,19.0,2146504.0,
Alabama,1.0,2001.0,2001.0,Female,F,19.0,2309496.0,
Alabama,1.0,2001.0,2001.0,Male,M,28.0,2158138.0,1.3
Alabama,1.0,2002.0,2002.0,Female,F,25.0,2314370.0,1.1
Alabama,1.0,2002.0,2002.0,Male,M,36.0,2165719.0,1.7
Alabama,1.0,2003.0,2003.0,Female,F,14.0,2324069.0,
Alabama,1.0,2003.0,2003.0,Male,M,26.0,2179422.0,1.2
Alabama,1.0,2004.0,2004.0,Female,F,25.0,2337857.0,1.1
Alabama,1.0,2004.0,2004.0,Male,M,51.0,2192872.0,2.3
Alabama,1.0,2005.0,2005.0,Female,F,22.0,2356423.0,0.9
Alabama,1.0,2005.0,2005.0,Male,M,43.0,2213382.0,1.9
Alabama,1.0,2006.0,2006.0,Female,F,45.0,2385480.0,1.9
Alabama,1.0,2006.0,2006.0,Male,M,51.0,2243501.0,2.3
Alabama,1.0,2007.0,2007.0,Female,F,54.0,2407275.0,2.2
Alabama,1.0,2007.0,2007.0,Male,M,92.0,2265565.0,4.1
Alabama,1.0,2008.0,2008.0,Female,F,66.0,2430257.0,2.7
Alabama,1.0,2008.0,2008.0,Male,M,90.0,2287949.0,3.9
Alabama,1.0,2009.0,2009.0,Female,F,74.0,2448159.0,3.0
Alabama,1.0,2009.0,2009.0,Male,M,104.0,2309779.0,4.5
Alabama,1.0,2010.0,2010.0,Female,F,58.0,2459548.0,2.4
Alabama,1.0,2010.0,2010.0,Male,M,109.0,2320188.0,4.7
Alabama,1.0,2011.0,2011.0,Female,F,68.0,2473249.0,2.7
Alabama,1.0,2011.0,2011.0,Male,M,93.0,2329491.0,4.0
Alabama,1.0,2012.0,2012.0,Female,F,55.0,2483466.0,2.2
Alabama,1.0,2012.0,2012.0,Male,M,92.0,2338557.0,3.9
