Notes,state,state_code,year,year_code,heroin_deaths,population,heroin_death_rate
,Alabama,1,1999,1999,Suppressed,4430143,Suppressed
,Alabama,1,2000,2000,0,4447100,Unreliable
,Alabama,1,2001,2001,Suppressed,4467634,Suppressed
,Alabama,1,2002,2002,Suppressed,4480089,Suppressed
,Alabama,1,2003,2003,Suppressed,4503491,Suppressed
,Alabama,1,2004,2004,0,4530729,Unreliable
,Alabama,1,2005,2005,Suppressed,4569805,Suppressed
,Alabama,1,2006,2006,Suppressed,4628981,Suppressed
,Alabama,1,2007,2007,Suppressed,4672840,Suppressed
,Alabama,1,2008,2008,Suppressed,4718206,Suppressed
,Alabama,1,2009,2009,12,4757938,Unreliable
,Alabama,1,2010,2010,Suppressed,4779736,Suppressed
,Alabama,1,2011,2011,13,4802740,Unreliable
,Alabama,1,2012,2012,34,4822023,0.7
,Alabama,1,2013,2013,40,4833722,0.8
,Alabama,1,2014,2014,122,4849377,2.5
,Alabama,1,2015,2015,108,4858979,2.2
,Alabama,1,2016,2016,126,4863300,2.6
,Alabama,1,2017,2017,123,4874747,2.5
,Alabama,1,2018,2018,136,4887871,2.8
,Alabama,1,2019,2019,138,4903185,2.8
,Alabama,1,2020,2020,138,4921532,2.8
,Alaska,2,1999,1999,Suppressed,624781,Suppressed
,Alaska,2,2000,2000,Suppressed,626932,Suppressed
,Alaska,2,2001,2001,Suppressed,633714,Suppressed
,Alaska,2,2002,2002,Suppressed,642337,Suppressed
,Alaska,2,2003,2003,0,648414,Unreliable
,Alaska,2,2004,2004,0,659286,Unreliable
,Alaska,2,2005,2005,Suppressed,666946,Suppressed
,Alaska,2,2006,2006,0,675302,Unreliable
,Alaska,2,2007,2007,Suppressed,680300,Suppressed
,Alaska,2,2008,2008,Suppressed,687455,Suppressed
,Alaska,2,2009,2009,Suppressed,698895,Suppressed
,Alaska,2,2010,2010,Suppressed,710231,Suppressed
,Alaska,2,2011,2011,12,722718,Unreliable
,Alaska,2,2012,2012,23,731449,3.1
,Alaska,2,2013,2013,24,735132,3.3
,Alaska,2,2014,2014,25,736732,3.4
,Alaska,2,2015,2015,36,738432,4.9
,Alaska,2,2016,2016,46,741894,6.2
,Alaska,2,2017,2017,36,739795,4.9
,Alaska,2,2018,2018,28,737438,3.8
,Alaska,2,2019,2019,42,731545,5.7
,Alaska,2,2020,2020,34,731158,4.7
,Arizona,4,1999,1999,23,5023824,0.5
,Arizona,4,2000,2000,14,5130632,Unreliable
,Arizona,4,2001,2001,20,5273477,0.4
,Arizona,4,2002,2002,23,5396255,0.4
,Arizona,4,2003,2003,64,5510364,1.2
,Arizona,4,2004,2004,37,5652404,0.7
,Arizona,4,2005,2005,32,5839077,0.5
,Arizona,4,2006,2006,50,6029141,0.8
,Arizona,4,2007,2007,50,6167681,0.8
,Arizona,4,2008,2008,63,6280362,1
,Arizona,4,2009,2009,80,6343154,1.3
,Arizona,4,2010,2010,87,6392017,1.4
,Arizona,4,2011,2011,116,6482505,1.8
,Arizona,4,2012,2012,97,6553255,1.5
,Arizona,4,2013,2013,142,6626624,2.1
,Arizona,4,2014,2014,192,6731484,2.9
,Arizona,4,2015,2015,236,6828065,3.5
,Arizona,4,2016,2016,295,6931071,4.3
,Arizona,4,2017,2017,328,7016270,4.7
,Arizona,4,2018,2018,349,7171646,4.9
,Arizona,4,2019,2019,264,7278717,3.6
,Arizona,4,2020,2020,207,7421401,2.8
,Arkansas,5,1999,1999,Suppressed,2651860,Suppressed
,Arkansas,5,2000,2000,Suppressed,2673400,Suppressed
,Arkansas,5,2001,2001,0,2691571,Unreliable
,Arkansas,5,2002,2002,Suppressed,2705927,Suppressed
,Arkansas,5,2003,2003,0,2724816,Unreliable
,Arkansas,5,2004,2004,Suppressed,2749686,Suppressed
,Arkansas,5,2005,2005,Suppressed,2781097,Suppressed
,Arkansas,5,2006,2006,0,2821761,Unreliable
,Arkansas,5,2007,2007,Suppressed,2848650,Suppressed
,Arkansas,5,2008,2008,Suppressed,2874554,Suppressed
,Arkansas,5,2009,2009,Suppressed,2896843,Suppressed
,Arkansas,5,2010,2010,Suppressed,2915918,Suppressed
,Arkansas,5,2011,2011,Suppressed,2937979,Suppressed
,Arkansas,5,2012,2012,Suppressed,2949131,Suppressed
,Arkansas,5,2013,2013,Suppressed,2959373,Suppressed
,Arkansas,5,2014,2014,Suppressed,2966369,Suppressed
,Arkansas,5,2015,2015,Suppressed,2978204,Suppressed
,Arkansas,5,2016,2016,12,2988248,Unreliable
,Arkansas,5,2017,2017,15,3004279,Unreliable
,Arkansas,5,2018,2018,19,3013825,Unreliable
,Arkansas,5,2019,2019,31,3017804,1
,Arkansas,5,2020,2020,21,3030522,0.7
,California,6,1999,1999,457,33499204,1.4
,California,6,2000,2000,323,33871648,1
,California,6,2001,2001,215,34479458,0.6
,California,6,2002,2002,352,34871843,1
,California,6,2003,2003,340,35253159,1
,California,6,2004,2004,279,35574576,0.8
,California,6,2005,2005,240,35827943,0.7
,California,6,2006,2006,263,36021202,0.7
,California,6,2007,2007,282,36250311,0.8
,California,6,2008,2008,318,36604337,0.9
,California,6,2009,2009,344,36961229,0.9
,California,6,2010,2010,317,37253956,0.9
,California,6,2011,2011,359,37691912,1
,California,6,2012,2012,352,38041430,0.9
,California,6,2013,2013,472,38332521,1.2
,California,6,2014,2014,546,38802500,1.4
,California,6,2015,2015,574,39144818,1.5
,California,6,2016,2016,570,39250017,1.5
,California,6,2017,2017,695,39536653,1.8
,California,6,2018,2018,760,39557045,1.9
,California,6,2019,2019,948,39512223,2.4
,California,6,2020,2020,989,39368078,2.5
,Colorado,8,1999,1999,31,4226018,0.7
