Notes,state,state_code,year,year_code,opioid_deaths,population,opioid_death_rate
,Alabama,1,1999,1999,26,4430141,0.6
,Alabama,1,2000,2000,31,4447100,0.7
,Alabama,1,2001,2001,47,4467634,1.1
,Alabama,1,2002,2002,61,4480089,1.4
,Alabama,1,2003,2003,40,4503491,0.9
,Alabama,1,2004,2004,76,4530729,1.7
,Alabama,1,2005,2005,65,4569805,1.4
,Alabama,1,2006,2006,96,4628981,2.1
,Alabama,1,2007,2007,146,4672840,3.1
,Alabama,1,2008,2008,156,4718206,3.3
,Alabama,1,2009,2009,178,4757938,3.7
,Alabama,1,2010,2010,167,4779736,3.5
,Alabama,1,2011,2011,161,4802740,3.4
,Alabama,1,2012,2012,147,4822023,3
,Alabama,1,2013,2013,150,4833722,3.1
,Alabama,1,2014,2014,252,4849377,5.2
,Alabama,1,2015,2015,261,4858979,5.4
,Alabama,1,2016,2016,320,4863300,6.6
,Alabama,1,2017,2017,395,4874747,8.1
,Alabama,1,2018,2018,353,4887871,7.2
,Alabama,1,2019,2019,388,4903185,7.9
,Alabama,1,2020,2020,594,4921532,12.1
,Alaska,2,1999,1999,15,624779,Unreliable
,Alaska,2,2000,2000,22,626932,3.5
,Alaska,2,2001,2001,11,633714,Unreliable
,Alaska,2,2002,2002,Suppressed,642337,Suppressed
,Alaska,2,2003,2003,10,648414,Unreliable
,Alaska,2,2004,2004,Suppressed,659286,Suppressed
,Alaska,2,2005,2005,13,666946,Unreliable
,Alaska,2,2006,2006,27,675302,4
,Alaska,2,2007,2007,14,680300,Unreliable
,Alaska,2,2008,2008,66,687455,9.6
,Alaska,2,2009,2009,73,698895,10.4
,Alaska,2,2010,2010,57,710231,8
,Alaska,2,2011,2011,62,722718,8.6
,Alaska,2,2012,2012,78,731449,10.7
,Alaska,2,2013,2013,68,735132,9.3
,Alaska,2,2014,2014,68,736732,9.2
,Alaska,2,2015,2015,79,738432,10.7
,Alaska,2,2016,2016,82,741894,11.1
,Alaska,2,2017,2017,89,739795,12
,Alaska,2,2018,2018,61,737438,8.3
,Alaska,2,2019,2019,75,731545,10.3
,Alaska,2,2020,2020,103,731158,14.1
,Arizona,4,1999,1999,183,5023823,3.6
,Arizona,4,2000,2000,195,5130632,3.8
,Arizona,4,2001,2001,212,5273477,4
,Arizona,4,2002,2002,255,5396255,4.7
,Arizona,4,2003,2003,283,5510364,5.1
,Arizona,4,2004,2004,272,5652404,4.8
,Arizona,4,2005,2005,315,5839077,5.4
,Arizona,4,2006,2006,367,6029141,6.1
,Arizona,4,2007,2007,369,6167681,6
,Arizona,4,2008,2008,400,6280362,6.4
,Arizona,4,2009,2009,489,6343154,7.7
,Arizona,4,2010,2010,530,6392017,8.3
,Arizona,4,2011,2011,465,6482505,7.2
,Arizona,4,2012,2012,417,6553255,6.4
,Arizona,4,2013,2013,434,6626624,6.5
,Arizona,4,2014,2014,497,6731484,7.4
,Arizona,4,2015,2015,566,6828065,8.3
,Arizona,4,2016,2016,680,6931071,9.8
,Arizona,4,2017,2017,817,7016270,11.6
,Arizona,4,2018,2018,1003,7171646,14
,Arizona,4,2019,2019,1190,7278717,16.3
,Arizona,4,2020,2020,1750,7421401,23.6
,Arkansas,5,1999,1999,12,2651860,Unreliable
,Arkansas,5,2000,2000,Suppressed,2673400,Suppressed
,Arkansas,5,2001,2001,Suppressed,2691571,Suppressed
,Arkansas,5,2002,2002,25,2705927,0.9
,Arkansas,5,2003,2003,23,2724816,0.8
,Arkansas,5,2004,2004,50,2749686,1.8
,Arkansas,5,2005,2005,53,2781097,1.9
,Arkansas,5,2006,2006,65,2821761,2.3
,Arkansas,5,2007,2007,56,2848650,2
,Arkansas,5,2008,2008,116,2874554,4
,Arkansas,5,2009,2009,131,2896843,4.5
,Arkansas,5,2010,2010,131,2915918,4.5
,Arkansas,5,2011,2011,129,2937979,4.4
,Arkansas,5,2012,2012,126,2949131,4.3
,Arkansas,5,2013,2013,115,2959373,3.9
,Arkansas,5,2014,2014,129,2966369,4.3
,Arkansas,5,2015,2015,143,2978204,4.8
,Arkansas,5,2016,2016,131,2988248,4.4
,Arkansas,5,2017,2017,153,3004279,5.1
,Arkansas,5,2018,2018,168,3013825,5.6
,Arkansas,5,2019,2019,175,3017804,5.8
,Arkansas,5,2020,2020,247,3030522,8.2
,California,6,1999,1999,1331,33499204,4
,California,6,2000,2000,891,33871648,2.6
,California,6,2001,2001,492,34479458,1.4
