Notes,state,state_code,year,year_code,other_deaths,population,other_death_rate
,Alabama,1,1999,1999,Suppressed,4430143,Suppressed
,Alabama,1,2000,2000,Suppressed,4447100,Suppressed
,Alabama,1,2001,2001,Suppressed,4467634,Suppressed
,Alabama,1,2002,2002,Suppressed,4480089,Suppressed
,Alabama,1,2003,2003,Suppressed,4503491,Suppressed
,Alabama,1,2004,2004,Suppressed,4530729,Suppressed
,Alabama,1,2005,2005,Suppressed,4569805,Suppressed
,Alabama,1,2006,2006,Suppressed,4628981,Suppressed
,Alabama,1,2007,2007,Suppressed,4672840,Suppressed
,Alabama,1,2008,2008,Suppressed,4718206,Suppressed
,Alabama,1,2009,2009,Suppressed,4757938,Suppressed
,Alabama,1,2010,2010,13,4779736,Unreliable
,Alabama,1,2011,2011,11,4802740,Unreliable
,Alabama,1,2012,2012,10,4822023,Unreliable
,Alabama,1,2013,2013,14,4833722,Unreliable
,Alabama,1,2014,2014,12,4849377,Unreliable
,Alabama,1,2015,2015,20,4858979,0.4
,Alabama,1,2016,2016,11,4863300,Unreliable
,Alabama,1,2017,2017,22,4874747,0.5
,Alabama,1,2018,2018,Suppressed,4887871,Suppressed
,Alabama,1,2019,2019,Suppressed,4903185,Suppressed
,Alabama,1,2020,2020,13,4921532,Unreliable
,Alaska,2,1999,1999,Suppressed,624781,Suppressed
,Alaska,2,2000,2000,Suppressed,626932,Suppressed
,Alaska,2,2001,2001,Suppressed,633714,Suppressed
,Alaska,2,2002,2002,0,642337,Unreliable
,Alaska,2,2003,2003,Suppressed,648414,Suppressed
,Alaska,2,2004,2004,Suppressed,659286,Suppressed
,Alaska,2,2005,2005,0,666946,Unreliable
,Alaska,2,2006,2006,Suppressed,675302,Suppressed
,Alaska,2,2007,2007,Suppressed,680300,Suppressed
,Alaska,2,2008,2008,Suppressed,687455,Suppressed
,Alaska,2,2009,2009,Suppressed,698895,Suppressed
,Alaska,2,2010,2010,Suppressed,710231,Suppressed
,Alaska,2,2011,2011,Suppressed,722718,Suppressed
,Alaska,2,2012,2012,Suppressed,731449,Suppressed
,Alaska,2,2013,2013,Suppressed,735132,Suppressed
,Alaska,2,2014,2014,15,736732,Unreliable
,Alaska,2,2015,2015,17,738432,Unreliable
,Alaska,2,2016,2016,23,741894,3.1
,Alaska,2,2017,2017,26,739795,3.5
,Alaska,2,2018,2018,21,737438,2.8
,Alaska,2,2019,2019,23,731545,3.1
,Alaska,2,2020,2020,22,731158,3
,Arizona,4,1999,1999,83,5023824,1.7
,Arizona,4,2000,2000,105,5130632,2
,Arizona,4,2001,2001,106,5273477,2
,Arizona,4,2002,2002,99,5396255,1.8
,Arizona,4,2003,2003,61,5510364,1.1
,Arizona,4,2004,2004,75,5652404,1.3
