Notes,state,state_code,year,year_code,prescription_deaths,population,prescription_death_rate
,Alabama,1,1999,1999,Suppressed,4430143,Suppressed
,Alabama,1,2000,2000,18,4447100,Unreliable
,Alabama,1,2001,2001,19,4467634,Unreliable
,Alabama,1,2002,2002,26,4480089,0.6
,Alabama,1,2003,2003,18,4503491,Unreliable
,Alabama,1,2004,2004,27,4530729,0.6
,Alabama,1,2005,2005,20,4569805,0.4
,Alabama,1,2006,2006,35,4628981,0.8
,Alabama,1,2007,2007,59,4672840,1.3
,Alabama,1,2008,2008,61,4718206,1.3
,Alabama,1,2009,2009,72,4757938,1.5
,Alabama,1,2010,2010,71,4779736,1.5
,Alabama,1,2011,2011,82,4802740,1.7
,Alabama,1,2012,2012,55,4822023,1.1
,Alabama,1,2013,2013,57,4833722,1.2
,Alabama,1,2014,2014,78,4849377,1.6
,Alabama,1,2015,2015,75,4858979,1.5
,Alabama,1,2016,2016,78,4863300,1.6
,Alabama,1,2017,2017,126,4874747,2.6
,Alabama,1,2018,2018,111,4887871,2.3
,Alabama,1,2019,2019,115,4903185,2.3
,Alabama,1,2020,2020,110,4921532,2.2
,Alaska,2,1999,1999,Suppressed,624781,Suppressed
,Alaska,2,2000,2000,17,626932,Unreliable
,Alaska,2,2001,2001,Suppressed,633714,Suppressed
,Alaska,2,2002,2002,Suppressed,642337,Suppressed
,Alaska,2,2003,2003,Suppressed,648414,Suppressed
,Alaska,2,2004,2004,Suppressed,659286,Suppressed
,Alaska,2,2005,2005,Suppressed,666946,Suppressed
,Alaska,2,2006,2006,12,675302,Unreliable
,Alaska,2,2007,2007,Suppressed,680300,Suppressed
,Alaska,2,2008,2008,39,687455,5.7
,Alaska,2,2009,2009,47,698895,6.7
,Alaska,2,2010,2010,34,710231,4.8
,Alaska,2,2011,2011,32,722718,4.4
,Alaska,2,2012,2012,40,731449,5.5
,Alaska,2,2013,2013,37,735132,5
,Alaska,2,2014,2014,34,736732,4.6
,Alaska,2,2015,2015,45,738432,6.1
,Alaska,2,2016,2016,37,741894,5
,Alaska,2,2017,2017,36,739795,4.9
,Alaska,2,2018,2018,30,737438,4.1
,Alaska,2,2019,2019,36,731545,4.9
,Alaska,2,2020,2020,35,731158,4.8
,Arizona,4,1999,1999,60,5023824,1.2
,Arizona,4,2000,2000,71,5130632,1.4
,Arizona,4,2001,2001,63,5273477,1.2
,Arizona,4,2002,2002,92,5396255,1.7
,Arizona,4,2003,2003,98,5510364,1.8
,Arizona,4,2004,2004,107,5652404,1.9
,Arizona,4,2005,2005,133,5839077,2.3
,Arizona,4,2006,2006,137,6029141,2.3
,Arizona,4,2007,2007,159,6167681,2.6
,Arizona,4,2008,2008,190,6280362,3
,Arizona,4,2009,2009,240,6343154,3.8
,Arizona,4,2010,2010,259,6392017,4.1
,Arizona,4,2011,2011,240,6482505,3.7
,Arizona,4,2012,2012,237,6553255,3.6
,Arizona,4,2013,2013,189,6626624,2.9
,Arizona,4,2014,2014,223,6731484,3.3
,Arizona,4,2015,2015,226,6828065,3.3
,Arizona,4,2016,2016,266,6931071,3.8
,Arizona,4,2017,2017,279,7016270,4
,Arizona,4,2018,2018,239,7171646,3.3
,Arizona,4,2019,2019,252,7278717,3.5
,Arizona,4,2020,2020,260,7421401,3.5
,Arkansas,5,1999,1999,Suppressed,2651860,Suppressed
,Arkansas,5,2000,2000,Suppressed,2673400,Suppressed
,Arkansas,5,2001,2001,Suppressed,2691571,Suppressed
,Arkansas,5,2002,2002,Suppressed,2705927,Suppressed
,Arkansas,5,2003,2003,15,2724816,Unreliable
,Arkansas,5,2004,2004,24,2749686,0.9
,Arkansas,5,2005,2005,27,2781097,1
,Arkansas,5,2006,2006,33,2821761,1.2
,Arkansas,5,2007,2007,33,2848650,1.2
,Arkansas,5,2008,2008,58,2874554,2
,Arkansas,5,2009,2009,78,2896843,2.7
,Arkansas,5,2010,2010,80,2915918,2.7
,Arkansas,5,2011,2011,88,2937979,3
,Arkansas,5,2012,2012,84,2949131,2.8
,Arkansas,5,2013,2013,80,2959373,2.7
,Arkansas,5,2014,2014,90,2966369,3
,Arkansas,5,2015,2015,100,2978204,3.4
,Arkansas,5,2016,2016,88,2988248,2.9
,Arkansas,5,2017,2017,93,3004279,3.1
,Arkansas,5,2018,2018,76,3013825,2.5
,Arkansas,5,2019,2019,72,3017804,2.4
,Arkansas,5,2020,2020,68,3030522,2.2
,California,6,1999,1999,833,33499204,2.5
,California,6,2000,2000,554,33871648,1.6
,California,6,2001,2001,286,34479458,0.8
,California,6,2002,2002,785,34871843,2.3
,California,6,2003,2003,670,35253159,1.9
,California,6,2004,2004,601,35574576,1.7
,California,6,2005,2005,612,35827943,1.7
,California,6,2006,2006,653,36021202,1.8
,California,6,2007,2007,747,36250311,2.1
,California,6,2008,2008,878,36604337,2.4
,California,6,2009,2009,960,36961229,2.6
,California,6,2010,2010,861,37253956,2.3
,California,6,2011,2011,968,37691912,2.6
,California,6,2012,2012,798,38041430,2.1
,California,6,2013,2013,844,38332521,2.2
,California,6,2014,2014,873,38802500,2.2
,California,6,2015,2015,864,39144818,2.2
,California,6,2016,2016,800,39250017,2
,California,6,2017,2017,831,39536653,2.1
,California,6,2018,2018,786,39557045,2
,California,6,2019,2019,761,39512223,1.9
,California,6,2020,2020,879,39368078,2.2
,Colorado,8,1999,1999,20,4226018,0.5
,Colorado,8,2000,2000,29,4301261,0.7
,Colorado,8,2001,2001,48,4425687,1.1
,Colorado,8,2002,2002,44,4490406,1
,Colorado,8,2003,2003,36,4528732,0.8
,Colorado,8,2004,2004,46,4575013,1
,Colorado,8,2005,2005,71,4631888,1.5
,Colorado,8,2006,2006,77,4720423,1.6
,Colorado,8,2007,2007,135,4803868,2.8
,Colorado,8,2008,2008,135,4889730,2.8
,Colorado,8,2009,2009,139,4972195,2.8
,Colorado,8,2010,2010,99,5029196,2
,Colorado,8,2011,2011,161,5116796,3.1
,Colorado,8,2012,2012,177,5187582,3.4
,Colorado,8,2013,2013,169,5268367,3.2
,Colorado,8,2014,2014,203,5355866,3.8
,Colorado,8,2015,2015,211,5456574,3.9
,Colorado,8,2016,2016,175,5540545,3.2
,Colorado,8,2017,2017,201,5607154,3.6
,Colorado,8,2018,2018,184,5695564,3.2
,Colorado,8,2019,2019,168,5758736,2.9
,Colorado,8,2020,2020,209,5807719,3.6
,Connecticut,9,1999,1999,Suppressed,3386401,Suppressed
,Connecticut,9,2000,2000,Suppressed,3405565,Suppressed
,Connecticut,9,2001,2001,Suppressed,3432835,Suppressed
,Connecticut,9,2002,2002,19,3458749,Unreliable
,Connecticut,9,2003,2003,21,3484336,0.6
,Connecticut,9,2004,2004,23,3496094,0.7
,Connecticut,9,2005,2005,25,3506956,0.7
,Connecticut,9,2006,2006,32,3517460,0.9
,Connecticut,9,2007,2007,30,3527270,0.9
,Connecticut,9,2008,2008,31,3545579,0.9
,Connecticut,9,2009,2009,25,3561807,0.7
,Connecticut,9,2010,2010,33,3574097,0.9
,Connecticut,9,2011,2011,37,3580709,1
,Connecticut,9,2012,2012,35,3590347,1
,Connecticut,9,2013,2013,122,3596080,3.4
,Connecticut,9,2014,2014,133,3596677,3.7
,Connecticut,9,2015,2015,155,3590886,4.3
,Connecticut,9,2016,2016,175,3576452,4.9
,Connecticut,9,2017,2017,169,3588184,4.7
,Connecticut,9,2018,2018,141,3572665,3.9
,Connecticut,9,2019,2019,179,3565287,5
,Connecticut,9,2020,2020,201,3557006,5.7
,Delaware,10,1999,1999,Suppressed,774990,Suppressed
,Delaware,10,2000,2000,Suppressed,783600,Suppressed
,Delaware,10,2001,2001,Suppressed,795699,Suppressed
,Delaware,10,2002,2002,15,806169,Unreliable
,Delaware,10,2003,2003,Suppressed,818003,Suppressed
,Delaware,10,2004,2004,10,830803,Unreliable
,Delaware,10,2005,2005,Suppressed,845150,Suppressed
,Delaware,10,2006,2006,Suppressed,859268,Suppressed
,Delaware,10,2007,2007,Suppressed,871749,Suppressed
,Delaware,10,2008,2008,22,883874,2.5
,Delaware,10,2009,2009,31,891730,3.5
,Delaware,10,2010,2010,35,897934,3.9
,Delaware,10,2011,2011,44,907135,4.9
,Delaware,10,2012,2012,27,917092,2.9
,Delaware,10,2013,2013,29,925749,3.1
,Delaware,10,2014,2014,26,935614,2.8
,Delaware,10,2015,2015,32,945934,3.4
,Delaware,10,2016,2016,28,952065,2.9
,Delaware,10,2017,2017,60,961939,6.2
,Delaware,10,2018,2018,61,967171,6.3
,Delaware,10,2019,2019,45,973764,4.6
,Delaware,10,2020,2020,50,986809,5.1
,District of Columbia,11,1999,1999,0,570220,Unreliable
,District of Columbia,11,2000,2000,Suppressed,572059,Suppressed
,District of Columbia,11,2001,2001,Suppressed,574504,Suppressed
,District of Columbia,11,2002,2002,Suppressed,573158,Suppressed
,District of Columbia,11,2003,2003,Suppressed,568502,Suppressed
,District of Columbia,11,2004,2004,16,567754,Unreliable
,District of Columbia,11,2005,2005,Suppressed,567136,Suppressed
,District of Columbia,11,2006,2006,10,570681,Unreliable
,District of Columbia,11,2007,2007,Suppressed,574404,Suppressed
,District of Columbia,11,2008,2008,Suppressed,580236,Suppressed
,District of Columbia,11,2009,2009,Suppressed,592228,Suppressed
,District of Columbia,11,2010,2010,Suppressed,601723,Suppressed
,District of Columbia,11,2011,2011,Suppressed,617996,Suppressed
,District of Columbia,11,2012,2012,Suppressed,632323,Suppressed
,District of Columbia,11,2013,2013,Suppressed,646449,Suppressed
,District of Columbia,11,2014,2014,18,658893,Unreliable
,District of Columbia,11,2015,2015,17,672228,Unreliable
,District of Columbia,11,2016,2016,41,681170,6
,District of Columbia,11,2017,2017,29,693972,4.2
,District of Columbia,11,2018,2018,26,702455,3.7
,District of Columbia,11,2019,2019,20,705749,2.8
,District of Columbia,11,2020,2020,31,712816,4.3
,Florida,12,1999,1999,106,15759421,0.7
,Florida,12,2000,2000,177,15982378,1.1
,Florida,12,2001,2001,368,16356966,2.2
,Florida,12,2002,2002,306,16689370,1.8
,Florida,12,2003,2003,367,17004085,2.2
,Florida,12,2004,2004,421,17415318,2.4
,Florida,12,2005,2005,409,17842038,2.3
,Florida,12,2006,2006,477,18166990,2.6
,Florida,12,2007,2007,640,18367842,3.5
,Florida,12,2008,2008,717,18527305,3.9
,Florida,12,2009,2009,859,18652644,4.6
,Florida,12,2010,2010,1014,18801310,5.4
,Florida,12,2011,2011,927,19057542,4.9
,Florida,12,2012,2012,719,19317568,3.7
,Florida,12,2013,2013,624,19552860,3.2
,Florida,12,2014,2014,584,19893297,2.9
,Florida,12,2015,2015,674,20271272,3.3
,Florida,12,2016,2016,899,20612439,4.4
,Florida,12,2017,2017,997,20984400,4.8
,Florida,12,2018,2018,1015,21299325,4.8
,Florida,12,2019,2019,950,21477737,4.4
,Florida,12,2020,2020,1012,21733312,4.7
,Georgia,13,1999,1999,19,8045966,Unreliable
,Georgia,13,2000,2000,48,8186453,0.6
,Georgia,13,2001,2001,78,8377038,0.9
,Georgia,13,2002,2002,83,8508256,1
,Georgia,13,2003,2003,80,8622793,0.9
,Georgia,13,2004,2004,88,8769252,1
,Georgia,13,2005,2005,105,8925922,1.2
,Georgia,13,2006,2006,110,9155813,1.2
,Georgia,13,2007,2007,129,9349988,1.4
,Georgia,13,2008,2008,169,9504843,1.8
,Georgia,13,2009,2009,222,9620846,2.3
,Georgia,13,2010,2010,265,9687653,2.7
,Georgia,13,2011,2011,307,9815210,3.1
,Georgia,13,2012,2012,272,9919945,2.7
