Notes,state,state_code,year,year_code,race,race_code,deaths,population,opioid_death_rate
,Alabama,1,1999,1999,American Indian or Alaska Native,1002-5,0,22667,Unreliable
,Alabama,1,1999,1999,Asian or Pacific Islander,A-PI,0,33495,Unreliable
,Alabama,1,1999,1999,Black or African American,2054-5,Suppressed,1162673,Suppressed
,Alabama,1,1999,1999,White,2106-3,23,3211308,0.7
,Alabama,1,2000,2000,American Indian or Alaska Native,1002-5,0,25386,Unreliable
,Alabama,1,2000,2000,Asian or Pacific Islander,A-PI,0,35873,Unreliable
,Alabama,1,2000,2000,Black or African American,2054-5,Suppressed,1167623,Suppressed
,Alabama,1,2000,2000,White,2106-3,30,3218218,0.9
,Alabama,1,2001,2001,American Indian or Alaska Native,1002-5,0,26010,Unreliable
,Alabama,1,2001,2001,Asian or Pacific Islander,A-PI,0,38517,Unreliable
,Alabama,1,2001,2001,Black or African American,2054-5,Suppressed,1177479,Suppressed
,Alabama,1,2001,2001,White,2106-3,43,3225628,1.3
,Alabama,1,2002,2002,American Indian or Alaska Native,1002-5,0,27003,Unreliable
,Alabama,1,2002,2002,Asian or Pacific Islander,A-PI,0,40783,Unreliable
,Alabama,1,2002,2002,Black or African American,2054-5,Suppressed,1182591,Suppressed
,Alabama,1,2002,2002,White,2106-3,58,3229712,1.8
,Alabama,1,2003,2003,American Indian or Alaska Native,1002-5,0,28065,Unreliable
,Alabama,1,2003,2003,Asian or Pacific Islander,A-PI,0,43407,Unreliable
,Alabama,1,2003,2003,Black or African American,2054-5,Suppressed,1190183,Suppressed
,Alabama,1,2003,2003,White,2106-3,35,3241836,1.1
,Alabama,1,2004,2004,American Indian or Alaska Native,1002-5,0,28974,Unreliable
,Alabama,1,2004,2004,Asian or Pacific Islander,A-PI,0,46752,Unreliable
,Alabama,1,2004,2004,Black or African American,2054-5,Suppressed,1199192,Suppressed
,Alabama,1,2004,2004,White,2106-3,69,3255811,2.1
,Alabama,1,2005,2005,American Indian or Alaska Native,1002-5,0,29957,Unreliable
,Alabama,1,2005,2005,Asian or Pacific Islander,A-PI,0,49897,Unreliable
,Alabama,1,2005,2005,Black or African American,2054-5,0,1210903,Unreliable
,Alabama,1,2005,2005,White,2106-3,65,3279048,2
,Alabama,1,2006,2006,American Indian or Alaska Native,1002-5,0,31165,Unreliable
,Alabama,1,2006,2006,Asian or Pacific Islander,A-PI,0,53122,Unreliable
,Alabama,1,2006,2006,Black or African American,2054-5,Suppressed,1230534,Suppressed
,Alabama,1,2006,2006,White,2106-3,92,3314160,2.8
,Alabama,1,2007,2007,American Indian or Alaska Native,1002-5,0,32273,Unreliable
,Alabama,1,2007,2007,Asian or Pacific Islander,A-PI,0,56067,Unreliable
,Alabama,1,2007,2007,Black or African American,2054-5,13,1243867,Unreliable
,Alabama,1,2007,2007,White,2106-3,133,3340633,4
,Alabama,1,2008,2008,American Indian or Alaska Native,1002-5,0,33518,Unreliable
,Alabama,1,2008,2008,Asian or Pacific Islander,A-PI,0,58975,Unreliable
,Alabama,1,2008,2008,Black or African American,2054-5,Suppressed,1259177,Suppressed
,Alabama,1,2008,2008,White,2106-3,149,3366536,4.4
,Alabama,1,2009,2009,American Indian or Alaska Native,1002-5,0,34844,Unreliable
,Alabama,1,2009,2009,Asian or Pacific Islander,A-PI,0,62645,Unreliable
,Alabama,1,2009,2009,Black or African American,2054-5,Suppressed,1271247,Suppressed
,Alabama,1,2009,2009,White,2106-3,170,3389202,5
,Alabama,1,2010,2010,American Indian or Alaska Native,1002-5,0,35963,Unreliable
,Alabama,1,2010,2010,Asian or Pacific Islander,A-PI,0,64726,Unreliable
,Alabama,1,2010,2010,Black or African American,2054-5,Suppressed,1279072,Suppressed
,Alabama,1,2010,2010,White,2106-3,159,3399975,4.7
,Alabama,1,2011,2011,American Indian or Alaska Native,1002-5,0,36348,Unreliable
,Alabama,1,2011,2011,Asian or Pacific Islander,A-PI,0,66881,Unreliable
,Alabama,1,2011,2011,Black or African American,2054-5,Suppressed,1293037,Suppressed
,Alabama,1,2011,2011,White,2106-3,155,3406474,4.6
,Alabama,1,2012,2012,American Indian or Alaska Native,1002-5,0,36677,Unreliable
,Alabama,1,2012,2012,Asian or Pacific Islander,A-PI,0,69565,Unreliable
,Alabama,1,2012,2012,Black or African American,2054-5,13,1302210,Unreliable
,Alabama,1,2012,2012,White,2106-3,134,3413571,3.9
,Alabama,1,2013,2013,American Indian or Alaska Native,1002-5,Suppressed,36694,Suppressed
,Alabama,1,2013,2013,Asian or Pacific Islander,A-PI,0,72011,Unreliable
,Alabama,1,2013,2013,Black or African American,2054-5,11,1307660,Unreliable
,Alabama,1,2013,2013,White,2106-3,138,3417357,4
,Alabama,1,2014,2014,American Indian or Alaska Native,1002-5,0,36925,Unreliable
,Alabama,1,2014,2014,Asian or Pacific Islander,A-PI,0,74946,Unreliable
,Alabama,1,2014,2014,Black or African American,2054-5,26,1317566,2
,Alabama,1,2014,2014,White,2106-3,226,3419940,6.6
,Alabama,1,2015,2015,American Indian or Alaska Native,1002-5,Suppressed,37228,Suppressed
,Alabama,1,2015,2015,Asian or Pacific Islander,A-PI,0,77752,Unreliable
,Alabama,1,2015,2015,Black or African American,2054-5,28,1325905,2.1
,Alabama,1,2015,2015,White,2106-3,230,3418094,6.7
,Alabama,1,2016,2016,American Indian or Alaska Native,1002-5,Suppressed,37190,Suppressed
,Alabama,1,2016,2016,Asian or Pacific Islander,A-PI,Suppressed,79553,Suppressed
,Alabama,1,2016,2016,Black or African American,2054-5,51,1329648,3.8
,Alabama,1,2016,2016,White,2106-3,265,3416909,7.8
,Alabama,1,2017,2017,American Indian or Alaska Native,1002-5,Suppressed,37424,Suppressed
,Alabama,1,2017,2017,Asian or Pacific Islander,A-PI,Suppressed,82378,Suppressed
,Alabama,1,2017,2017,Black or African American,2054-5,64,1335240,4.8
,Alabama,1,2017,2017,White,2106-3,329,3419705,9.6
,Alabama,1,2018,2018,American Indian or Alaska Native,1002-5,Suppressed,37790,Suppressed
,Alabama,1,2018,2018,Asian or Pacific Islander,A-PI,Suppressed,84490,Suppressed
,Alabama,1,2018,2018,Black or African American,2054-5,59,1338846,4.4
,Alabama,1,2018,2018,White,2106-3,292,3426745,8.5
,Alabama,1,2019,2019,American Indian or Alaska Native,1002-5,Suppressed,38256,Suppressed
,Alabama,1,2019,2019,Asian or Pacific Islander,A-PI,Suppressed,85143,Suppressed
,Alabama,1,2019,2019,Black or African American,2054-5,65,1342306,4.8
,Alabama,1,2019,2019,White,2106-3,320,3437480,9.3
,Alabama,1,2020,2020,American Indian or Alaska Native,1002-5,Suppressed,38347,Suppressed
,Alabama,1,2020,2020,Asian or Pacific Islander,A-PI,Suppressed,87585,Suppressed
,Alabama,1,2020,2020,Black or African American,2054-5,144,1350111,10.7
,Alabama,1,2020,2020,White,2106-3,445,3445489,12.9
,Alaska,2,1999,1999,American Indian or Alaska Native,1002-5,Suppressed,105729,Suppressed
,Alaska,2,1999,1999,Asian or Pacific Islander,A-PI,Suppressed,30390,Suppressed
,Alaska,2,1999,1999,Black or African American,2054-5,0,26610,Unreliable
,Alaska,2,1999,1999,White,2106-3,12,462052,Unreliable
,Alaska,2,2000,2000,American Indian or Alaska Native,1002-5,Suppressed,107715,Suppressed
,Alaska,2,2000,2000,Asian or Pacific Islander,A-PI,0,31786,Unreliable
,Alaska,2,2000,2000,Black or African American,2054-5,0,26649,Unreliable
,Alaska,2,2000,2000,White,2106-3,20,460782,4.3
,Alaska,2,2001,2001,American Indian or Alaska Native,1002-5,0,108715,Unreliable
,Alaska,2,2001,2001,Asian or Pacific Islander,A-PI,0,33834,Unreliable
,Alaska,2,2001,2001,Black or African American,2054-5,0,27347,Unreliable
,Alaska,2,2001,2001,White,2106-3,11,463818,Unreliable
,Alaska,2,2002,2002,American Indian or Alaska Native,1002-5,Suppressed,109756,Suppressed
,Alaska,2,2002,2002,Asian or Pacific Islander,A-PI,0,35716,Unreliable
,Alaska,2,2002,2002,Black or African American,2054-5,0,28157,Unreliable
,Alaska,2,2002,2002,White,2106-3,Suppressed,468708,Suppressed
,Alaska,2,2003,2003,American Indian or Alaska Native,1002-5,Suppressed,110936,Suppressed
,Alaska,2,2003,2003,Asian or Pacific Islander,A-PI,0,37741,Unreliable
,Alaska,2,2003,2003,Black or African American,2054-5,0,28196,Unreliable
,Alaska,2,2003,2003,White,2106-3,Suppressed,471541,Suppressed
,Alaska,2,2004,2004,American Indian or Alaska Native,1002-5,0,112721,Unreliable
,Alaska,2,2004,2004,Asian or Pacific Islander,A-PI,Suppressed,39436,Suppressed
