Notes,state,state_code,year,year_code,synthetic_deaths,population,synthetic_death_rate
,Alabama,1,1999,1999,Suppressed,4430143,Suppressed
,Alabama,1,2000,2000,Suppressed,4447100,Suppressed
,Alabama,1,2001,2001,Suppressed,4467634,Suppressed
,Alabama,1,2002,2002,Suppressed,4480089,Suppressed
,Alabama,1,2003,2003,Suppressed,4503491,Suppressed
,Alabama,1,2004,2004,10,4530729,Unreliable
,Alabama,1,2005,2005,Suppressed,4569805,Suppressed
,Alabama,1,2006,2006,18,4628981,Unreliable
,Alabama,1,2007,2007,19,4672840,Unreliable
,Alabama,1,2008,2008,15,4718206,Unreliable
,Alabama,1,2009,2009,27,4757938,0.6
,Alabama,1,2010,2010,34,4779736,0.7
,Alabama,1,2011,2011,19,4802740,Unreliable
,Alabama,1,2012,2012,10,4822023,Unreliable
,Alabama,1,2013,2013,24,4833722,0.5
,Alabama,1,2014,2014,44,4849377,0.9
,Alabama,1,2015,2015,68,4858979,1.4
,Alabama,1,2016,2016,152,4863300,3.1
,Alabama,1,2017,2017,193,4874747,4
,Alabama,1,2018,2018,137,4887871,2.8
,Alabama,1,2019,2019,210,4903185,4.3
,Alabama,1,2020,2020,437,4921532,8.9
,Alaska,2,1999,1999,Suppressed,624781,Suppressed
,Alaska,2,2000,2000,Suppressed,626932,Suppressed
,Alaska,2,2001,2001,Suppressed,633714,Suppressed
,Alaska,2,2002,2002,0,642337,Unreliable
,Alaska,2,2003,2003,0,648414,Unreliable
,Alaska,2,2004,2004,0,659286,Unreliable
,Alaska,2,2005,2005,Suppressed,666946,Suppressed
,Alaska,2,2006,2006,Suppressed,675302,Suppressed
,Alaska,2,2007,2007,Suppressed,680300,Suppressed
,Alaska,2,2008,2008,Suppressed,687455,Suppressed
,Alaska,2,2009,2009,14,698895,Unreliable
,Alaska,2,2010,2010,Suppressed,710231,Suppressed
,Alaska,2,2011,2011,Suppressed,722718,Suppressed
,Alaska,2,2012,2012,Suppressed,731449,Suppressed
,Alaska,2,2013,2013,12,735132,Unreliable
,Alaska,2,2014,2014,11,736732,Unreliable
,Alaska,2,2015,2015,13,738432,Unreliable
,Alaska,2,2016,2016,Suppressed,741894,Suppressed
,Alaska,2,2017,2017,36,739795,4.9
,Alaska,2,2018,2018,16,737438,Unreliable
,Alaska,2,2019,2019,22,731545,3
,Alaska,2,2020,2020,63,731158,8.6
,Arizona,4,1999,1999,10,5023824,Unreliable
,Arizona,4,2000,2000,Suppressed,5130632,Suppressed
,Arizona,4,2001,2001,Suppressed,5273477,Suppressed
,Arizona,4,2002,2002,12,5396255,Unreliable
,Arizona,4,2003,2003,15,5510364,Unreliable
,Arizona,4,2004,2004,18,5652404,Unreliable
,Arizona,4,2005,2005,31,5839077,0.5
